model_name,accuracy,precision_mowing,recall_mowing,f1_mowing,f1_macro
baseline_rf_ndii,0.8038675669272685,0.20068399452804378,0.6528704939919893,0.3070001046353458,0.5963845449788089
tuned_svm_ndii,0.9241589670694148,0.4241545893719807,0.3907432131731197,0.4067639564512393,0.6831269915918545
tuned_lgbm_hybrid,0.6967247097844113,0.16552301255230126,0.8802848242100578,0.27865041910262733,0.5433260344636668
tuned_svm_hybrid,0.6834873252783701,0.16162911889681714,0.897196261682243,0.27391304347826084,0.5357750615755437
